"waterBody","reps"
"",5987405
"Atlantic Ocean",79382
"Atlantic, Western Central",24265
"North Sargasso Sea",20006
"Slope Water",17416
"Pacific, Eastern Central",14482
"Pacific, Western Central",11892
"Atlantic, Northwest",11668
"Pacific Ocean",8440
"Caribbean Sea",7774
"Amazonian",5894
"South Sargasso Sea",5370
"Indian Ocean, Western",4916
"Atlantic, Southwest",4414
"Atlantic, Northeast",4386
"Atlantic, Eastern Central",3889
"Pacific, Southeast",3544
"Pacific, Northwest",3257
"Straits of Florida",3245
"S North Afr Subtrop",3002
"Mediterranean Sea",2901
"Gulf of Mexico",2788
"Indian Ocean, Eastern",2680
"Arabian Sea",2610
"Indian Ocean, Timor Sea",2369
"So. New England",2037
"Lesser Antillean",2002
"Pacific, Northeast",1795
"North African Subtropical",1688
"Atlantic Ocean, Gulf of Mexico",1680
"Gulf of Maine",1676
"Mid Atlantic Bight, Slope Water",1667
"Indian Ocean",1535
"Georges Bank",1448
"Southern Mauritanian Upwelling",1374
"Atlantic Ocean, Caribbean Sea",1305
"Solomon Sea",1216
"Sargasso Sea",1166
"Atlantic, Southeast",1137
"Coral Sea",1067
"North Pacific Ocean",911
"Atlantic Ocean, South",847
"Atlantic Ocean, North",841
"Pacific, Southwest",839
"Atlantic Subarctic",722
"Northern Gyre",696
"Mid-Atlantic Bight",675
"North Atlantic Ocean",649
"Mediterranean Outflow",647
"Gulf of Alaska",641
"Northern Mauritanian Upwelling",480
"South Pacific Ocean",417
"South China Sea",408
"Atlantic Ocean, Mediterranean Sea",366
"Western Mediterranean",364
"Adriatic Sea",335
"Bering Sea",264
"Gulf of Panama",264
"Atlantic, Antarctic",227
"Mediterranean and Black Sea",201
"Straits of Magellan",201
"Indian Ocean, Arabian Sea",194
"Red Sea",191
"Arctic Ocean",169
"Gulf of California",167
"Pacific, Antarctic",156
"Scotian Shelf",123
"North Sea",119
"Gulf Of Mexico",111
"Arctic Ocean, Greenland Sea",109
"Indian Ocean, Red Sea",103
"Java Sea",103
"Indian Ocean, Strait Of Malacca",102
"Pacific Ocean, Pacific, Eastern Central",98
"Strait Of Gibraltar",98
"Strait of Malacca",91
"Atlantic Ocean, Florida Bay",89
"Atlantic Ocean, Aegean Sea",86
"Indian Ocean, Persian Gulf",82
"Bay of Fundy",77
"Sea of Okhotsk",76
"Gulf of Aden",68
"Persian Gulf",66
"Atlantic Ocean, Argentine Shelf",64
"Great Barrier Reef",58
"Aegean Sea",57
"Indian Ocean, Antarctic and Southern",57
"Arctic Sea",54
"Pacific Ocean, Tasman Sea",53
"San Francisco Bay",50
"Molukka Sea",48
"Saint George Bay",48
"Arctic Ocean, Laptev Sea",46
"Kara Sea",46
"Sea of Japan",43
"Peter the Great Bay",42
"Tyrrhenian Sea",40
"Torres Strait",39
"Arctic Ocean, East Siberian Sea",38
"Atlantic/Pacific Ocean",38
"Arctic Ocean, Bering Sea",35
"Southern Ocean",33
"Southern Ocean, Weddell Sea",33
"Icy Strait",32
"Rio de la Plata",32
"Crooked Island Passage",31
"Laccadive Sea",31
"Norwegian Sea",31
"Central Pacific",29
"North Sea, Skagerrak",26
"Antarctic Ocean",25
"Arctic Ocean, Kara Sea",25
"Sulu Sea",25
"Banda Sea",24
"Straits Of Florida",24
"East China Sea",23
"Atlantic Ocean, New Jersey Slope",22
"Arctic Ocean, Chukchi Sea",21
"Gulf of Venice",21
"Sagami Sea",21
"Pacific Ocean, French Oceania",20
"Pacific Ocean, Gulf of California",20
"Homa Bay",19
"Pacific",19
"Golfo San Matias",18
"Atlantic Ocean, North Carolina Shelf",17
"Baltic Sea",17
"Black Sea",17
"Pacific Ocean, Pacific, Southest",17
"Sagami Bay",17
"Atlantic Ocean, Labrador Sea",16
"Atlantic Ocean, North Sea",16
"Bransfield Straight",16
"Eastern Pacific",16
"Gulf of Suez",16
"Arctic Ocean, Norwegian Sea",15
"Chukchi Sea",15
"Malacca Strait",15
"Doubtless Bay",14
"Flores Sea",14
"North Atlantic",14
"Pacific Ocean, China Sea",14
"Caribbean",13
"Indo-Pacific Ocean",13
"Andaman Sea",12
"Denmark Strait",12
"Bay of Bengal",11
"Arctic/Atlantic Ocean",10
"Atlantic Ocean, Nova Scotia Slope",10
"Gulf of Oman",10
"McMurdo Sound",10
"South Atlantic Bight, Slopewater",10
"Mid Atlantic Bight",9
"Atlantic Ocean, Gulf of Mexico and Caribbean Sea",8
"Bay of Naples",8
"Irish Sea",8
"Mediterranean",8
"Strait of Messina",8
"Tasman Sea",8
"Timor Sea",8
"Caspian Sea",7
"Gulf Of Cariaco",7
"Gulf of St. Lawrence",7
"Pacific Ocean, Coral Sea",7
"Atlantic",6
"Atlantic Ocean, Virginia Slope",6
"Bay of Biscay",6
"Chesapeake Bay",6
"King George Sound",6
"Pacific Ocean, Japan Sea",6
"Atlantic Ocean, Adriatic Sea",5
"Atlantic Ocean; Long Island Sound",5
"Atlantic Ocean, Mediterranean Sea, Straits of Gibraltar",5
"Atlantic Ocean, North Carolina Slope",5
"Atlantic Ocean, South Carolina Shelf",5
"Gulf of Tartary",5
"Hawaiian Ridge",5
"Pacific Ocean, Alaskan Shelf",5
"Southern Ocean, Scotia Sea",5
"Atlantic Ocean, Gulf Of Maine",4
"Barents Sea",4
"Bowen Strait",4
"Gulf of Guinea",4
"Gulf of Papua",4
"Indian Ocean, Gulf of Aden",4
"Ise Bay",4
"Pacific Ocean; Sulu Sea",4
"South Atlantic",4
"Strait of Magellan",4
"Tagus Cove",4
"Arctic Ocean, Beaufort Sea",3
"Atlantic Ocean and Pacific Ocean",3
"Atlantic Ocean, Brazilian Rise",3
"Atlantic Ocean, Golfo San Matias",3
"Atlantic Ocean, New Jersey Rise",3
"Balearic Sea",3
"Block Island Sound",3
"Cook Strait",3
"Kola Bay",3
"Mediterranean and Red Sea",3
"Sea of Azov",3
"Southwest",3
"Tokyo Bay",3
"Atlantic Ocean, Brazilian Slope",2
"Atlantic Ocean, Georgia Slope",2
"Atlantic Ocean, Grand Banks",2
"Atlantic Ocean, New Jersey Shelf",2
"China Sea, East",2
"Conway Bay",2
"Coral Sea/Solomon Sea",2
"Cotuit Harbor",2
"Dead Sea",2
"Kerimba Archipelago",2
"Makassar Strait",2
"Marudu Bay",2
"Pacific Ocean, Gulf of Panama",2
"Pacific Ocean, Yellow Sea",2
"South Atlantic Ocean",2
"Southern Ocean, Straights of Magellan",2
"Strait Of Magellan",2
"Tosa Bay",2
"Western Atlantic Slope",2
"Academy Bay",1
"Arafura Sea",1
"Arctic Ocean, Baffin Bay",1
"Atlantic and Mediterranean",1
"Atlantic Ocean, Baltic Sea",1
"Atlantic Ocean, Brazilian Shelf",1
"Atlantic Ocean; Caribbean Sea",1
"Atlantic Ocean, Delaware Rise",1
"Atlantic Ocean, Gulf of Guinea",1
"Atlantic Ocean, Maine Slope",1
"Atlantic Ocean, Maryland Slope",1
"Atlantic Ocean, Massachusetts Shelf",1
"Atlantic Ocean, South, Argentine Shelf",1
"Atlantic Ocean, South Carolina Slope",1
"Atlantic Ocean, Strait Of Florida",1
"Atlantic Ocean, Virginia Rise",1
"Atlantic Ocean, Virginia Shelf",1
"Bay of Isles",1
"Beaufort Sea",1
"Bohol Sea",1
"Gulf Of California",1
"Gulf of Oran",1
"Gulf Stream",1
"Hudson Strait",1
"Huon Gulf",1
"Kavirondo Bay",1
"Ligurian Sea",1
"Malama Bay",1
"Malay Archipelago",1
"Northwest Channel",1
"Pacific Ocean, Bering Sea",1
"Pacific Ocean, Bismarck Sea",1
"Pacific Ocean, Gulf of Boni",1
"Pacific Ocean, Macassar Straights",1
"Pacific Ocean, Mexican Shelf",1
"Pacific Ocean, Philippine Sea",1
"Pacific Ocean, San Diego Bay",1
"Pacific Ocean, Sea of Okhotsk",1
"Pacific Ocean, Tuamatu Archipelago",1
"Pacific, Western",1
"Persian Gulf, Tarut Bay",1
"Port Gallant",1
"San Diego Bay",1
"Sibutu Passage",1
"Southern Ocean, Ross Sea",1
"Southern Ocean, Weddell Sea, Antarctic Sound",1
"Spencer Gulf",1
"St Andrew Bay",1
"Straits Of Yucatan",1
"Suruga Bay",1
