"index.phylum","reps"
"chordata",1911430
"mollusca",1244040
"arthropoda",797744
"",686009
"brachiopoda",466748
"tracheophyta",207436
"echinodermata",133908
"cnidaria",127953
"foraminifera",127597
"rhizopoda",80673
"bryozoa",56701
"porifera",30079
"annelida",23153
"granuloreticulosa",21856
"hemichordata",10223
"arthrpoda",10085
"protozoa",9469
"animalia",8366
"hadrosauridae",6579
"chlorophyta",5301
"sarcomastigophora",4781
"problematica",3690
"dinosauria",3487
"ichnofossil",3142
"mammalia",2981
"incertae sedis",2128
"rhizaria",2023
"pteridospermophyta",1966
"angiospermae",1553
"rangifer",1406
"picea glauca",1374
"pteridophyta",1374
"sipuncula",1345
"ichnofossil (invertebrate)",1307
"graptolithina",1263
"ovibos",1143
"platyhelminthes",1132
"plantae",998
"ichnotaxon",906
"rotifera",842
"gymnospermae",789
"radiozoa",779
"unplaced",747
"vertebrata",658
"aves",650
"lycophyta",636
"ochrophyta",624
"magnoliophyta",609
"bivalvia",593
"onychophora",519
"archaeocyatha",517
"gastropoda",499
"vulpes velox",472
"lemmus",465
"sphenophyta",457
"ichnofossil (vertebrate)",451
"arthropoda | crustacea",429
"coragyps occidentalis",400
"marchantiophyta",396
"rodentia",390
"rhodophyta",379
"charophyta",370
"glomeromycota",359
"notiosorex dalquesti",356
"nemertea",350
"unidentifiable",329
"predicrostonyx hopkinsi",309
"ascomycota",300
"unknown",297
"coluber or masticophis",267
"aztlanolagus agilis",255
"gnathostomulida",250
"haptophyta",250
"erethizon dorsatum",246
"coelenterata",244
"proboscidea",241
"lemmiscus curtatus",238
"nematoda",229
"stromatolites",214
"osteichthyes",204
"vulpes sp.",195
"crotaphytus collaris",194
"ceratopsidae",190
"cyanobacteria",190
"sauria",190
"to be looked up",183
"anthozoa",181
"cnidaeia",177
"cynomys gunnisoni",172
"rock (geology)",163
"meleagris gallopavo",160
"bryophyta",154
"coniferophytes",153
"alces",152
"corvus neomexicanus",150
"callipepla sp.",146
"nematomorpha",145
"sipunculoida",143
"stockoceros conklingi",143
"trilobita",143
"caracara cheriway",141
"angiosperms - dicot",132
"belemnoidea",117
"artiodactyla",115
"ctenophora",108
"theropoda",106
"cratogeomys castanops",101
"lycopodiophyta",101
"conodonta",100
"pseudofossil",98
"basidiomycota",96
"none",95
"priapulida",95
"algae",93
"anaxyrus sp.",92
"chiroptera",89
"phenacomys",87
"lobopodia",83
"cyanophyta",82
"corvus sp.",81
"macoma",79
"icteridae",78
"neotominae",77
"cynomys sp.",76
"osteichthyes sp.",76
"pinophyta",76
"trachaeophytes",75
"arvicolinae",74
"myzozoa",74
"naticidae",73
"chondrichthyes",72
"chrysemys picta or trachemys gaigeae",69
"insecta",69
"troodontidae",67
"rangifer tarandus",65
"serpentes",65
"crinoidea",64
"gymnogyps californianus",64
"ammonoidea",63
"cephalopoda",63
"radiolariida",63
"anaxyrus punctatus",61
"vulpes velox cf.",61
"tyrannosauridae",59
"cephalorhyncha",58
"corynorhinus sp.",57
"fringillidae",56
"incomplete record",56
"eptesicus fuscus",55
"acanthocephala",53
"passeriformes sp.",53
"chaetognatha",52
"dicrostonyx",52
"cervidae",50
"onychomys sp.",49
"ornithischia",49
"tadarida brasiliensis",49
"coragyps occidentalis cf.",48
"ictidomys tridecemlineatus cf.",48
"scaphiopus couchii",48
"anura sp.",47
"ictidomys or xerospermophilus",47
"notiosorex harrisi",46
"antrozous pallidus",45
"corvus cryptoleucus",44
"heterokontophyta",44
"vendobionta",44
"chrysophyta",42
"notiosorex sp.",41
"scaphiopus or spea",41
"invertebrate phylum incertae sedis",40
"rhyniophyta",40
"sciuridae sp.",40
"chromista",39
"ornithopoda",39
"ugrunaaluk kuukpikensis",39
"grus canadensis",37
"troodon formosus",37
"archaeocyathid",36
"capromeryx sp.",36
"geomys sp.",36
"diatoms",34
"equisetophyta",34
"reptilia",34
"euceratherium collinum",33
"sialia sp.",33
"breagyps clarki",32
"corvus cf.",32
"actinopoda",31
"anatidae sp.",31
"entoprocta",31
"salvadora sp.",31
"urocitellus elegans",31
"bubo virginianus",30
"carnivora",30
"cynomys or spermophilus",30
"gopherus morafkai",30
"puma concolor",30
"cercozoa",29
"ovibos ?",29
"urocyon cinereoargenteus",29
"crotaphytus collaris cf.",28
"ostreida",28
"scleractinia",28
"bogertophis subocularis",27
"sipunculida",27
"cycadophyta",26
"holbrookia maculata",26
"laqueus californianus",26
"serripes",26
"tardigrada",26
"actinopterygii",25
"canidae sp.",25
"dromaeosauridae",25
"petrochelidon fulva or petrochelidon pyrrhonota",25
"scaphopoda",25
"streptophyta",25
"testudinidae sp.",25
"cophosaurus texanus",24
"echiura",24
"ovis or capra",24
"panthera",24
"phoronida",23
"stockoceros conklingi cf.",23
"urocyon or vulpes",23
"vulpes",23
"cratogeomys or geomys",22
"mycetozoa",22
"progymnospermae",22
"aspidoscelis sp.",21
"tympanuchus pallidicinctus",21
"vetulicolia?",21
"aquila chrysaetos",20
"callipepla cf.",20
"rhinocheilus lecontei",20
"therapoda",20
"accipitridae sp.",19
"nectosaurus sp.",19
"vulpes cf.",19
"agelaius phoeniceus",18
"cyanocitta ?",18
"glyptotherium texanum",18
"undefinable",18
"mustelidae",17
"onychomys or peromyscus",17
"pachyrhinosaurus",17
"xenacoelomorpha",17
"zygomycota",17
"euceratherium cf.",16
"leporidae",16
"phaeophyta",16
"picea mariana",16
"pipilo fuscus",16
"protista",16
"troodon",16
"arvicolinae sp.",15
"buchia",15
"capromeryx cf.",15
"chelonia",15
"desmodus stocki",15
"echinoidea",15
"lycophyta (lycophytes)",15
"macoma calcarea",15
"macoma incongrua",15
"metasequoia",15
"pantherophis emoryi",15
"rangifer ?",15
"unionidae",15
"ursidae",15
"vulpes ?",15
"anserinae",14
"byrozoa",14
"canidae",14
"chaetodipus or perognathus",14
"conchocele disjuncta",14
"euceratherium ?",14
"lobopodia?",14
"speleothem",14
"strophatrypa skaflestadi",14
"symbos cavifrons",14
"urosaurus ornatus",14
"antilocapridae sp.",13
"brachylagus idahoensis",13
"cetacea",13
"chaetodipus sp.",13
"corynorhinus townsendii",13
"cynomys ludovicianus",13
"gymnospermophyta",13
"ictidomys tridecemlineatus",13
"lithobates pipiens",13
"passeriformes",13
"podiceps or podilymbus",13
"proboscidia",13
"tympanuchus pallidicinctus cf.",13
"vermes",13
"zenaida macroura",13
"arthropoda?",12
"aspidoscelis tigris cf.",12
"calamospiza melanocorys",12
"chaetodipus hispidus",12
"charadriiformes sp.",12
"chelonia sp.",12
"conulariida",12
"corvus brachyrhynchos",12
"eremophila alpestris",12
"geomyidae sp.",12
"gopherus cf.",12
"ichthyosauria",12
"lagomorpha",12
"lithobates sp.",12
"sialia ?",12
"urocyon cf.",12
"alces ?",11
"anatinae",11
"aztlanolagus agilis cf.",11
"camelidae sp.",11
"canidae ?",11
"corvus neomexicanus cf.",11
"cynomys cf.",11
"dinoflagellata",11
"filicophyta",11
"geococcyx californianus conklingi",11
"geomyidae",11
"lepidophorus",11
"nannippus ?",11
"panthera atrox",11
"panthera leo",11
"panthera onca",11
"pinnipedia",11
"rhynchonellata",11
"tabulata",11
"anthocerotophyta",10
"arizona elegans",10
"beringius hertleini",10
"bos taurus",10
"capra or ovis",10
"carnivora ?",10
"chrysophycophyta",10
"corvus ?",10
"cynomys gunnisoni cf.",10
"gopherus morafkai cf.",10
"hypsiglena torquata",10
"leptoceratopsidae",10
"macoma arctata",10
"nucella",10
"pseudacris triseriata",10
"puma concolor cf.",10
"rugosa",10
"tellina",10
"thescelosauridae",10
"uncertain",10
"zosterophyllophyta",10
"angiosperms - eurosids i (fabids)",9
"antilocapridae cf.",9
"asio flammeus",9
"canidae cf.",9
"cynomys ludovicianus cf.",9
"menispermites septentrionalis",9
"odobenus",9
"ovibos moschatus",9
"panomya",9
"thescelosaurinae",9
"anaxyrus cf.",8
"angiosperms - monocotyledons",8
"annelida?",8
"aztlanolagus agilis ?",8
"cathartes aura",8
"centrocercus urophasianus",8
"colubridae",8
"coragyps ?",8
"corynorhinus cf.",8
"cycliophora",8
"cynomys mexicanus cf.",8
"declinognathodus",8
"eocylindroteuthis riegrafi",8
"fusitriton oregonensis",8
"geococcyx californianus",8
"gomphotheriidae sp.",8
"halobia",8
"ichnites",8
"macoma nasuta",8
"morania nixonforkensis",8
"morania wagneri",8
"neolochriea",8
"pipilo fuscus cf.",8
"pitymys",8
"stockoceros conklingi ?",8
"sturnella sp.",8
"symbos",8
"actinobacteria",7
"antilocapridae ?",7
"archaeopus lunicarina",7
"athene cunicularia",7
"bubo virginianus cf.",7
"cervidae ?",7
"coragyps cf.",7
"corylites",7
"cratogeomys castanops cf.",7
"desmoinesia",7
"gyalopion canum",7
"heterodon nasicus",7
"lemmus trimucronatus",7
"natica",7
"pinnidae",7
"podicipedidae sp.",7
"pteridospermatophyta",7
"retaria",7
"shonisaurus",7
"uta stansburiana",7
"xanthocephalus cf.",7
"angiosperms",6
"artiodactyla ?",6
"bovidae",6
"cnidaria?",6
"colaptes auratus",6
"corylites beringianus",6
"crotaphytus collaris ?",6
"dosinia whitneyi",6
"geomys or thomomys",6
"gopherus sp.",6
"incertiae sedis",6
"macoma astori",6
"mollusca sp.",6
"nannippus sp.",6
"petalonamae",6
"plestiodon multivirgatus cf.",6
"rallidae sp.",6
"rena sp.",6
"saiga",6
"sapelnikoviella santuccii",6
"trachemys gaigeae or trachemys scripta",6
"trochodendroides",6
"unranked",6
"villarroelia totoyoi",6
"ancistrolepis",5
"antilocapra or stockoceros",5
"antrozous pallidus cf.",5
"aphelocoma californica ?",5
"artiodactyla cf.",5
"bison or ovibos",5
"capromeryx ?",5
"cardiidae",5
"conchocele",5
"cratogeomys cf.",5
"decapoda",5
"ectoprocta",5
"ginkgo",5
"hormogonales",5
"icteridae cf.",5
"incilius alvarius",5
"lemmiscus curtatus cf.",5
"macoma lipara",5
"macoma lorenzoensis arnoldi",5
"mustelidae cf.",5
"neptunia",5
"pectinidae",5
"plestiodon obsoletus",5
"proboscidea sp.",5
"remondella waldroni",5
"scaphiopus couchii cf.",5
"scleractinian ?",5
"securella",5
"spatangoida",5
"taxaceae",5
"testudinidae",5
"tumion gracillimum",5
"acritarcha",4
"amoebozoa",4
"amphibia sp.",4
"angiosperms - eudicots",4
"angiosperms - eurosids ii (malvids)",4
"anser ?",4
"apalone sp.",4
"aphelocoma californica cf.",4
"aquila chrysaetos ?",4
"aquila chrysaetos cf.",4
"arborimus albipes",4
"arctodus or ursus",4
"arthropodae",4
"asio flammeus cf.",4
"bacillariophyta",4
"barnacles",4
"bogertophis subocularis cf.",4
"bos taurus cf.",4
"brachiopod",4
"capromeryx or stockoceros",4
"charadrius vociferus",4
"choanozoa",4
"chordata | vertebrata",4
"coleoptera",4
"cratogeomys sp.",4
"crustacea",4
"cryptozoa",4
"cyrtonyx cf.",4
"dicyemida",4
"elgaria kingii",4
"emberizidae sp.",4
"erethizon dorsatum cf.",4
"falconiformes sp.",4
"foraminella",4
"geomys cf.",4
"gulo",4
"gymnogyps californianus cf.",4
"hemithiris psittacea",4
"ichnotaxa",4
"iguanidae sp.",4
"kirkospira glacialis",4
"nannippus peninsulatus",4
"panope",4
"pantherophis emoryi cf.",4
"prolicaphrium sanalfonensis",4
"pseudacris triseriata cf.",4
"quiscalus sp.",4
"radiolaria",4
"saiga tatarica",4
"saurichthys",4
"serpulidae",4
"smilodon fatalis",4
"spermatophyta",4
"subansiria",4
"tomiopsis",4
"trimerophytophyta",4
"trophonopsis",4
"urocyon cinereoargenteus cf.",4
"accipitridae",3
"anaxyrus cognatus",3
"anaxyrus cognatus cf.",3
"ancistrolepis eucosmius",3
"ankylosauridae",3
"anomia",3
"anthropoda",3
"antiplanes",3
"antiplanes voyi",3
"ardeidae",3
"aspidoscelis tigris",3
"beringius crebricostatus",3
"bogertophis or elaphe",3
"bos or equus",3
"brachylagus idahoensis ?",3
"cathartes aura cf.",3
"chaetodipus cf.",3
"chelonia ?",3
"cidaroida",3
"ciliophora",3
"coragyps occidentalis ?",3
"cygnus",3
"desmostylidae",3
"eptesicus fuscus cf.",3
"fusitriton",3
"geomys arenarius or geomys bursarius",3
"ginkgophyta",3
"idiognathoides",3
"leptagonia",3
"linoproductus meniscus",3
"lucina hannibali",3
"macoma inquinata",3
"macoma moesta",3
"mactra",3
"?mollusca",3
"molossidae sp.",3
"muramotoceras",3
"muridae",3
"mustelidae ?",3
"myrmicinae",3
"natica clausa",3
"navahoceros ?",3
"navahoceros fricki",3
"navahoceros fricki ?",3
"numenius americanus",3
"odontophoridae sp.",3
"onychomys cf.",3
"ophiuroidea",3
"oreamnos ?",3
"pachycephalosauridae",3
"parataxodium wigginsii",3
"picidae sp.",3
"pinaceae",3
"pinales",3
"plesiosauria",3
"pliomys deeringensis",3
"porifera?",3
"proteobacteria",3
"pseudoprotophyllum",3
"pusa hispida",3
"quenstedtoceras",3
"salvadora cf.",3
"sauria ?",3
"scutellaster hertleini",3
"sonninia projectifer cf.",3
"spirotropis",3
"stegacanthia",3
"strigiformes sp.",3
"tapirus sp.",3
"theosodon sp.",3
"tympanuchus cf.",3
"tyto alba",3
"urocitellus elegans cf.",3
"urosaurus ornatus cf.",3
"vespertilionidae",3
"zoantharia",3
"accipitridae cf.",2
"acroteuthis",2
"admete couthouyi",2
"aforia clallamensis",2
"alispirifer",2
"alphachoristites trautscholdi",2
"ammospermophilus sp.",2
"anatidae",2
"anaxyrus debilis",2
"anaxyrus punctatus cf.",2
"ancistrolepis clarki",2
"angiosperms - magnoliids",2
"anser  ?",2
"antiplanes perversa",2
"antrozous cf.",2
"aphelocoma ?",2
"aphelocoma californica",2
"aphelocoma cf.",2
"aquila or haliaeetus",2
"ardeidae ?",2
"asio ?",2
"asteroidea",2
"aves ?",2
"aves cf.",2
"baiomys or reithrodontomys",2
"brachiopoda | mollusca",2
"camelidae",2
"carabidae",2
"caracara cheriway cf.",2
"cardium alaskensis",2
"cathartes ?",2
"cathartes aura ?",2
"cathartidae ?",2
"centrocercus minimus ?",2
"cervidae sp.",2
"chaetodipus hispidus cf.",2
"chaetodipus intermedius cf.",2
"chelonia cf.",2
"chonetinella sp.",2
"chordata|vertebrata",2
"chytridiomycota",2
"clypeasteroida",2
"colaptes auratus cf.",2
"colinus cf.",2
"colinus or oreortyx",2
"colinus virginianus ?",2
"colubridae cf.",2
"conepatus or mephitis",2
"coniferophyta",2
"conus adversarius",2
"corynorhinus townsendii cf.",2
"cubanaster torrei",2
"cylindroteuthis",2
